iter	MultiClass
0	1.24494487
1	1.13391176
2	1.027222293
3	0.9358979753
4	0.8759126048
5	0.801139428
6	0.733791943
7	0.6913819788
8	0.649634768
9	0.6096377903
10	0.5811812172
11	0.5584318122
12	0.5282805129
13	0.4960503533
14	0.4725372623
15	0.4550465892
16	0.4335506281
17	0.4142997115
18	0.4026071262
19	0.3910405095
20	0.3789217124
21	0.3638092069
22	0.3522297832
23	0.3397206435
24	0.3274104177
25	0.3169931457
26	0.3098553445
27	0.3023102314
28	0.2904693262
29	0.2797620667
30	0.2728242847
31	0.2644439338
32	0.2599590841
33	0.2550743426
34	0.244205367
35	0.2396636192
36	0.2336088009
37	0.2276558663
38	0.2210745514
39	0.2147577677
40	0.2109795017
41	0.2071696637
42	0.2034532913
43	0.1988556401
44	0.195322417
45	0.1921840273
46	0.1903837062
47	0.1881951745
48	0.1858393784
49	0.1815387361
50	0.1782038451
51	0.1756864479
52	0.1730409313
53	0.1701615142
54	0.1671706572
55	0.1651125026
56	0.163812548
57	0.1623258131
58	0.1571285313
59	0.155039287
60	0.1529022815
61	0.151047851
62	0.1492956108
63	0.1475947613
64	0.1443778488
65	0.1429992532
66	0.1406637423
67	0.1401078204
68	0.1391705718
69	0.1350551314
70	0.132848146
71	0.1312973065
72	0.1303278156
73	0.127364528
74	0.1253391801
75	0.1238712977
76	0.1227032208
77	0.119897445
78	0.1180759623
79	0.1170077929
80	0.1151642526
81	0.114146138
82	0.1114407413
83	0.1094321759
84	0.1079178962
85	0.1070733926
86	0.1058512274
87	0.1044336639
88	0.1035190177
89	0.1026800118
90	0.1018932559
91	0.1011887623
92	0.09964873423
93	0.09827855079
94	0.09602345487
95	0.09542524109
96	0.09464675632
97	0.0930353961
98	0.09240643289
99	0.09026579403
