iter	Passed	Remaining
0	23	2355
1	31	1565
2	40	1313
3	48	1166
4	56	1073
5	63	1002
6	72	959
7	79	918
8	88	893
9	95	862
10	103	841
11	111	817
12	119	800
13	126	779
14	134	762
15	142	746
16	149	732
17	159	726
18	167	714
19	174	699
20	182	687
21	190	675
22	198	663
23	205	651
24	212	638
25	221	629
26	229	619
27	239	615
28	247	606
29	255	596
30	267	596
31	275	585
32	287	584
33	297	577
34	305	566
35	313	557
36	321	547
37	330	539
38	338	530
39	352	528
40	361	519
41	373	516
42	385	511
43	394	502
44	405	495
45	415	488
46	423	477
47	431	467
48	439	457
49	447	447
50	454	437
51	463	427
52	471	417
53	481	409
54	489	400
55	499	392
56	509	384
57	518	375
58	526	366
59	533	355
60	543	347
61	550	337
62	558	328
63	566	318
64	574	309
65	581	299
66	589	290
67	596	280
68	604	271
69	611	262
70	620	253
71	627	244
72	636	235
73	647	227
74	661	220
75	671	212
76	682	203
77	691	195
78	700	186
79	711	177
80	719	168
81	727	159
82	736	150
83	744	141
84	753	133
85	761	123
86	769	114
87	776	105
88	784	96
89	792	88
90	799	79
91	807	70
92	814	61
93	821	52
94	829	43
95	837	34
96	845	26
97	854	17
98	862	8
99	870	0
